route_name,route_index,stop_id,stop_name,original_latitude,original_longitude,snapped_latitude,snapped_longitude,formatted_address,place_id,search_query
Nemili-Panappakkam,116,stop9,Vellagate (Sakthiganapthy Hotel),13.0212637,80.18324580000001,13.021250752947351,80.18328092446596,"Manapakkam, Chennai, Tamil Nadu, India",ChIJ5-F_rsVgUjoRBUEJTeQn6dg,"Vellagate (Sakthiganapthy Hotel), Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop10,Meenachi College (KPM),13.0212637,80.18324580000001,13.021250752947351,80.18328092446596,"Manapakkam, Chennai, Tamil Nadu, India",ChIJ5-F_rsVgUjoRBUEJTeQn6dg,"Meenachi College (KPM), Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop11,Enathur Petrol Bunk,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Enathur Petrol Bunk, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop12,Rajakulam,13.0212637,80.18324580000001,13.021250752947351,80.18328092446596,"Manapakkam, Chennai, Tamil Nadu, India",ChIJ5-F_rsVgUjoRBUEJTeQn6dg,"Rajakulam, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop13,Sathankulam,8.4442039,77.9120458,8.444202788611307,77.91204730251256,"Sathankulam, Tamil Nadu 628704, India",ChIJMR20zWV4BDsRsWnlPhgjCbI,"Sathankulam, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop14,Chinnachatram,13.0212637,80.18324580000001,13.021250752947351,80.18328092446596,"Manapakkam, Chennai, Tamil Nadu, India",ChIJ5-F_rsVgUjoRBUEJTeQn6dg,"Chinnachatram, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop15,Pillaichatram,13.0212637,80.18324580000001,13.021250752947351,80.18328092446596,"Manapakkam, Chennai, Tamil Nadu, India",ChIJ5-F_rsVgUjoRBUEJTeQn6dg,"Pillaichatram, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop16,Senthamangalam,13.0212637,80.18324580000001,13.021250752947351,80.18328092446596,"Manapakkam, Chennai, Tamil Nadu, India",ChIJ5-F_rsVgUjoRBUEJTeQn6dg,"Senthamangalam, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop17,Santhavellore,13.0212637,80.18324580000001,13.021250752947351,80.18328092446596,"Manapakkam, Chennai, Tamil Nadu, India",ChIJ5-F_rsVgUjoRBUEJTeQn6dg,"Santhavellore, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop18,Thirumangalam,13.0212637,80.18324580000001,13.021250752947351,80.18328092446596,"Manapakkam, Chennai, Tamil Nadu, India",ChIJ5-F_rsVgUjoRBUEJTeQn6dg,"Thirumangalam, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop19,Mambakkam,13.0521019,80.22552859999999,13.052330048052834,80.22553401768195,"Kodambakkam, Chennai, Tamil Nadu, India",ChIJk9zXZvBmUjoRxckkOmvh6vo,"Mambakkam, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop20,Vadamangalam,13.0212637,80.18324580000001,13.021250752947351,80.18328092446596,"Manapakkam, Chennai, Tamil Nadu, India",ChIJ5-F_rsVgUjoRBUEJTeQn6dg,"Vadamangalam, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop21,Nokia Gate,13.0212637,80.18324580000001,13.021250752947351,80.18328092446596,"Manapakkam, Chennai, Tamil Nadu, India",ChIJ5-F_rsVgUjoRBUEJTeQn6dg,"Nokia Gate, Nemili-Panappakkam, Chennai"
Nemili-Panappakkam,116,stop22,Sriperumbudur Police Station,12.9637119,79.9492274,12.963696653644044,79.94911984357265,"XW7X+FMQ, Govinda mettu street, Katchipedu, Sriperumbudur, Tamil Nadu 602105, India",ChIJf6_yT8TyUjoR2xcg1h76eds,"Sriperumbudur Police Station, Nemili-Panappakkam, Chennai"
